,Date,Value,zip_code
98,2011-04-30,279900.0,27006
99,2011-03-31,259900.0,27006
100,2011-02-28,255000.0,27006
101,2011-01-31,257450.0,27006
102,2010-12-31,259900.0,27006
103,2010-11-30,274900.0,27006
104,2010-10-31,249900.0,27006
105,2010-09-30,258000.0,27006
106,2010-08-31,258950.0,27006
107,2010-07-31,254950.0,27006
108,2010-06-30,249900.0,27006
109,2010-05-31,259900.0,27006
110,2010-04-30,259900.0,27006
111,2010-03-31,261900.0,27006
112,2010-02-28,259900.0,27006
113,2010-01-31,269000.0,27006
0,2018-10-31,119500.0,27910
1,2018-09-30,121000.0,27910
2,2018-08-31,119500.0,27910
3,2018-07-31,129900.0,27910
4,2018-06-30,134500.0,27910
5,2018-05-31,129900.0,27910
6,2018-04-30,126200.0,27910
7,2018-03-31,123700.0,27910
8,2018-02-28,114800.0,27910
9,2018-01-31,124950.0,27910
10,2017-12-31,124900.0,27910
11,2017-11-30,123450.0,27910
12,2017-10-31,119250.0,27910
13,2017-09-30,111250.0,27910
14,2017-08-31,114900.0,27910
15,2017-07-31,107600.0,27910
16,2017-06-30,105000.0,27910
17,2017-05-31,109900.0,27910
18,2017-04-30,105000.0,27910
19,2017-03-31,102400.0,27910
20,2017-02-28,99500.0,27910
21,2017-01-31,99500.0,27910
22,2016-12-31,104500.0,27910
23,2016-11-30,104900.0,27910
24,2016-10-31,99500.0,27910
25,2016-09-30,104500.0,27910
26,2016-08-31,99500.0,27910
27,2016-07-31,97500.0,27910
28,2016-06-30,97750.0,27910
29,2016-05-31,99900.0,27910
30,2016-04-30,110000.0,27910
31,2016-03-31,104900.0,27910
32,2016-02-29,104900.0,27910
33,2016-01-31,100700.0,27910
34,2015-12-31,101500.0,27910
35,2015-11-30,109950.0,27910
36,2015-10-31,113842.0,27910
37,2015-09-30,135000.0,27910
38,2015-08-31,137000.0,27910
39,2015-07-31,124900.0,27910
40,2015-06-30,110000.0,27910
41,2015-05-31,119000.0,27910
42,2015-04-30,119000.0,27910
43,2015-03-31,110000.0,27910
44,2015-02-28,99450.0,27910
45,2015-01-31,102400.0,27910
46,2014-12-31,114950.0,27910
47,2014-11-30,114900.0,27910
48,2014-10-31,104950.0,27910
49,2014-09-30,114900.0,27910
50,2014-08-31,114900.0,27910
51,2014-07-31,117450.0,27910
52,2014-06-30,124950.0,27910
53,2014-05-31,124950.0,27910
54,2014-04-30,129000.0,27910
55,2014-03-31,127000.0,27910
56,2014-02-28,127000.0,27910
57,2014-01-31,119900.0,27910
58,2013-12-31,127000.0,27910
59,2013-11-30,125750.0,27910
0,2019-06-30,179000.0,28001
1,2019-05-31,176150.0,28001
2,2019-04-30,179000.0,28001
3,2019-03-31,174700.0,28001
4,2019-02-28,175000.0,28001
5,2019-01-31,175000.0,28001
6,2018-12-31,184400.0,28001
7,2018-11-30,179900.0,28001
8,2018-10-31,169900.0,28001
9,2018-09-30,169900.0,28001
10,2018-08-31,168950.0,28001
11,2018-07-31,164700.0,28001
12,2018-06-30,160000.0,28001
13,2018-05-31,164327.0,28001
14,2018-04-30,164327.0,28001
15,2018-03-31,165900.0,28001
16,2018-02-28,160200.0,28001
17,2018-01-31,159000.0,28001
18,2017-12-31,162113.5,28001
19,2017-11-30,167500.0,28001
20,2017-10-31,168700.0,28001
21,2017-09-30,173225.0,28001
22,2017-08-31,169900.0,28001
23,2017-07-31,164327.0,28001
